ibge;name;uf;sphere;cnpj;population;capital
2209971;São João do Arraial;PI;M;01612609000184;8494;0
2210003;São João do Piauí;PI;M;06553655000173;22137;0
2210052;São José do Divino;PI;M;41522111000145;5317;0
2210102;São José do Peixe;PI;M;06554000000110;3300;0
2210201;São José do Piauí;PI;M;06553838000199;6733;0
2210300;São Julião;PI;M;06553846000135;6131;0
2210359;São Lourenço do Piauí;PI;M;41522095000190;4497;0
2210375;São Luis do Piauí;PI;M;01519467000105;2277;0
2210383;São Miguel da Baixa Grande;PI;M;01612623000188;2299;0
2210391;São Miguel do Fidalgo;PI;M;01612611000153;2864;0
2210409;São Miguel do Tapuio;PI;M;06716906000193;17911;0
2210508;São Pedro do Piauí;PI;M;06554810000176;14055;0
2210607;São Raimundo Nonato;PI;M;06772859000103;41139;0
2210623;Sebastião Barros;PI;M;01612805000159;3210;0
2210631;Sebastião Leal;PI;M;01612610000109;4590;0
2210656;Sigefredo Pacheco;PI;M;41522129000147;9623;0
2210706;Simões;PI;M;06553853000137;14664;0
2210805;Simplício Mendes;PI;M;06553952000119;14437;0
2210904;Socorro do Piauí;PI;M;06553671000166;4165;0
2210938;Sussuapara;PI;M;01612755000100;6346;0
2210953;Tamboril do Piauí;PI;M;01616855000104;3040;0
2210979;Tanque do Piauí;PI;M;01612616000186;2319;0
2211001;Teresina;PI;M;06554869000164;905692;1
2211100;União;PI;M;06553606000130;47896;0
2211209;Uruçuí;PI;M;06985832000190;26779;0
2211308;Valença do Piauí;PI;M;06554737000132;23025;0
2211357;Várzea Branca;PI;M;41522103000107;5181;0
2211407;Várzea Grande;PI;M;06554950000144;4520;0
2211506;Vera Mendes;PI;M;01612615000131;3282;0
2211605;Vila Nova do Piauí;PI;M;01612614000197;2972;0
2211704;Wall Ferraz;PI;M;01612612000106;4195;0
2300101;Abaiara;CE;M;07411531000116;10269;0
2300150;Acarape;CE;M;23555170000138;14340;0
2300200;Acaraú;CE;M;07547821000191;69317;0
2300309;Acopiara;CE;M;07847379000119;45937;0
2300408;Aiuaba;CE;M;07568231000145;14115;0
2300507;Alcântaras;CE;M;07598626000190;11795;0
2300606;Altaneira;CE;M;07385503000171;6974;0
2300705;Alto Santo;CE;M;07891666000126;14372;0
2300754;Amontada;CE;M;06582449000191;44584;0
2300804;Antonina do Norte;CE;M;07594500000148;7507;0
2300903;Apuiarés;CE;M;07438468000101;13193;0
2301000;Aquiraz;CE;M;07911696000157;85316;0
